Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
мезотерапия,Mesotherapie,"<p><strong>Behandlungsdauer: </strong>ca. 30-60Minuten<br></p>
<p><strong>Schmerzen: </strong>gering bis moderat (abhängig von der Region)<br></p>
<p><strong>Betäubung: </strong>bei Bedarf oberflächliche Betäubung<br></p>
<p><strong>Gesellschaftsfähigkeit:</strong> in der Regel sofort<br></p>
<p><strong>Einschränkungen nach Behandlung: </strong>1–2 Tage keine Sauna/Sport, keine intensive Sonnenexposition<br></p>
<p><strong>Wirkungseintritt: </strong>allmählich, sichtbare Ergebnisse nach einigen Tagen bis Wochen<br>Wirkungsdauer / Haltbarkeit: ca. 3–6 Monate (je nach Hautzustand und Produkt)<br></p>
<p><strong>Behandlungsverlauf: </strong>Für ein optimales Ergebnis wird je nach Hautzustand eine Kur von mehreren Sitzungen empfohlen (z. B. 3–5 Behandlungen im Abstand von 2–4 Wochen).<br></p>
<p><strong>Kosten: </strong>individuell nach Areal und Produktmenge, ab 150€</p>",Můj obchod,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Mesotherapie_e2bfc4cb-c6b7-411e-9ce7-9fa1e3a2838f.png?v=1778271353,1,"",false,,,,kg,,,active
biorevitalisierung,Biorevitalisierung,"<p><strong>Behandlungsdauer:</strong> ca. 30 Minuten<br></p>
<p><strong>Schmerzen: </strong>gering (meist mit sehr feinen Nadeln)<br></p>
<p><strong>Betäubung: </strong>auf Wunsch oberflächliche Betäubung<br></p>
<p><strong>Gesellschaftsfähigkeit:</strong> sofort oder nach wenigen Stunden<br></p>
<p><strong>Einschränkungen nach Behandlung: </strong>1–2 Tage keine Sauna, Sonne, Sport<br></p>
<p><strong>Wirkungseintritt: </strong>nach einigen Tagen, volle Wirkung nach ca. 1–2 Wochen<br></p>
<p><strong>Wirkungsdauer / Haltbarkeit: </strong>ca. 4–6 Monate (Kuranwendungen empfohlen)<br></p>
<p><strong>Kosten:</strong> abhängig vom Produkt und Behandlungsregion, ab 150 €</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Biorevitaliierurng_8a339fc9-9b11-494b-9f52-32763947b24e.png?v=1778271352,1,"",false,,,,kg,,,active
faltenunterspritzung-mit-fillern,Faltenunterspritzung mit Fillern,"<p><strong>Behandlungsdauer:</strong><span class=""Apple-tab-span""> </span>ca. 15-60min</p>
<p><strong>Schmerzen:<span class=""Apple-tab-span""> </span></strong>leicht-mäßig</p>
<p><strong>Betäubung:<span class=""Apple-tab-span""> </span></strong>oberflächliche</p>
<p><strong>Gesellschaftsfähigkeit:</strong><span class=""Apple-tab-span""> </span>sofort</p>
<p><strong>Einschränkungen nach Behandlung:<span class=""Apple-tab-span""> </span></strong>1-2 Tage kein Sport und Sauna</p>
<p><strong>Wirkungseintritt:</strong><span class=""Apple-tab-span""> </span>sofort</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:<span class=""Apple-tab-span""> </span></strong>6 - 18 Monate</p>
<p><strong>Kosten:</strong><span class=""Apple-tab-span""> </span>werden individuell nach Materialverbrauch gerechnet, ab 150€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Faltensprizung_ea7fbe68-b0a1-4311-8d20-2f5ec03f8dcb.png?v=1778271351,1,"",false,,,,kg,,,active
botox-behandlung,Botox-Behandlung  ,"<p><strong>Behandlungsdauer:</strong><span class=""Apple-tab-span""> </span>ca. 20-40min</p>
<p><strong>Schmerzen:</strong><span class=""Apple-tab-span""> </span>kaum- gering</p>
<p><strong>Betäubung:<span class=""Apple-tab-span""> </span></strong>keine erforderlich</p>
<p><strong>Gesellschaftsfähigkeit:<span class=""Apple-tab-span""> </span></strong>sofort</p>
<p><strong>Einschränkungen nach Behandlung:<span class=""Apple-tab-span""> </span></strong>ca. 3 Tage<span class=""Apple-converted-space"">  </span>kein Sport und Sauna</p>
<p><strong>Wirkungseintritt:<span class=""Apple-tab-span""> </span></strong>nach 3-14 Tagen</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:</strong><span class=""Apple-tab-span""> </span>3-6 Monate</p>
<p><strong>Kosten:<span class=""Apple-tab-span""> </span></strong>werden individuell nach Materialverbrauch gerechnet, ab 100€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,100.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Botox.png?v=1778271350,1,"",false,,,,kg,,,active
lipolyse,Lipolyse,"<p><strong>Behandlungsdauer:<span class=""Apple-tab-span""> </span></strong>ca. 15 - 40 min</p>
<p><strong>Schmerzen:</strong><span class=""Apple-tab-span""> </span>kaum - gering</p>
<p><strong>Betäubung:</strong><span class=""Apple-tab-span""> </span>oberflächliche Betäubung nach Wunsch</p>
<p><strong>Gesellschaftsfähigkeit:</strong><span class=""Apple-tab-span""> </span>sofort</p>
<p><strong>Einschränkungen:<span class=""Apple-tab-span""> </span></strong>für ca. 1 - 1,5 Wochen Schwellungen und blaue Flecke, leichter Sport, keine Sauna</p>
<p><strong>Wirkungseintritt:<span class=""Apple-tab-span""> </span></strong>nach 6 Wochen</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:</strong><span class=""Apple-tab-span""> </span>dauerhaft</p>
<p><strong>Kosten:</strong><span class=""Apple-tab-span""> </span> wird individuell nach Materialverbrauch gerechnet ab 150€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Fett_weg_Spritze_de11ce75-0031-4d47-a003-c5afd62723a5.png?v=1778271348,1,"",false,,,,kg,,,active
lippenkorrektur-lippenvergrosserung,Lippenkorrektur (Lippenvergrößerung),"<p><strong>Behandlungsdauer:</strong><span class=""Apple-tab-span""> </span>ca. 20-30min</p>
<p><strong>Schmerzen:</strong><span class=""Apple-tab-span""> </span>leicht-mäßig</p>
<p><strong>Betäubung:</strong><span class=""Apple-tab-span""> </span>immer oberflächliche Betäubung</p>
<p><strong>Gesellschaftsfähigkeit:</strong><span class=""Apple-tab-span""> </span>sofort</p>
<p><strong>Einschränkungen nach Behandlung:</strong><span class=""Apple-tab-span""> </span>keine</p>
<p><strong>Wirkungseintritt:<span class=""Apple-tab-span""> </span></strong>sofort</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:</strong><span class=""Apple-tab-span""> </span>6 - 12 Monate</p>
<p><strong>Kosten:<span class=""Apple-tab-span""> </span></strong>werden individuell nach Materialverbrauch gerechnet, ab 150€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Lippen_1a762f17-94ef-4e9e-ad89-947e4471938b.png?v=1778271348,1,"",false,,,,kg,,,active
fadenlifting,Fadenlifting,"<p><strong>Behandlungsdauer:</strong><span class=""Apple-tab-span""> </span>ca. 20-60min</p>
<p><strong>Schmerzen:</strong><span class=""Apple-tab-span""> </span>kaum - gering</p>
<p><strong>Betäubung:<span class=""Apple-tab-span""> </span></strong>örtlich</p>
<p><strong>Gesellschaftsfähigkeit:</strong><span class=""Apple-tab-span""> </span>sofort oder nach 1 Woche, abhängig vom behandelten Areal</p>
<p><strong>Einschränkungen nach Behandlung:<span class=""Apple-tab-span""> </span></strong>1 Woche kein Sport, keine Sauna</p>
<p><strong>Wirkungseintritt:<span class=""Apple-tab-span""> </span></strong>sofort und verzögert</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:<span class=""Apple-tab-span""> </span></strong>ca. 1,5 - 2 Jahre</p>
<p><strong>Kosten:</strong><span class=""Apple-tab-span""> </span>individuell ab ca. 200€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Fadenlifting_44a25688-794a-4355-869a-d189a4da1441.png?v=1778271346,1,"",false,,,,kg,,,active
vampirlifting-prp-behandlung,Vampirlifting (PRP-Behandlung),"<p><strong>Behandlungsdauer:</strong><span class=""Apple-tab-span""> </span>ca. 90min</p>
<p><strong>Schmerzen:</strong><span class=""Apple-tab-span""> </span>leicht</p>
<p><strong>Betäubung:</strong><span class=""Apple-tab-span""> </span>Anästhesiecreme</p>
<p><strong>Nebenwirkungen:</strong><span class=""Apple-tab-span""> </span>leichte Schwellungen, Rötungen, ggf. leichter Schorf oder leichte Einblutungen</p>
<p><strong>Gesellschaftsfähigkeit:<span class=""Apple-tab-span""> </span></strong>nach ca. 3 Tagen</p>
<p><strong>Einschränkungen:<span class=""Apple-tab-span""> </span></strong>3 Tage kein Sport, 1 Woche keine heißen Vollbäder, Sauna, säurehaltige Kosmetika, 2 Wochen kein Solarium oder direkte Sonnenbestrahlung</p>
<p><strong>Wirkungseintritt:</strong><span class=""Apple-tab-span""> </span>nach ca. 4 Wochen</p>
<p><strong>Wirkungsdauer/ Haltbarkeit:</strong><span class=""Apple-tab-span""> </span>1-3 Jahre</p>
<p><strong>Kosten:<span class=""Apple-tab-span""> </span></strong>individuell ab 300€</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,300.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/PPR_d92939ed-f083-4676-8606-9c956045db27.png?v=1778271346,1,"",false,,,,kg,,,active
haarausfall-behandlung-und-haarwachstumsforderung,Haarausfall-Behandlung und Haarwachstumsförderung,"<p><strong>Behandlungsdauer:</strong> ca. 30–45 Minuten<br></p>
<p><strong>Schmerzen:</strong> gering bis moderat (je nach Empfindlichkeit der Kopfhaut)<br></p>
<p><strong>Betäubung: </strong>bei Bedarf oberflächliche Betäubung oder kühlende Anwendung<br></p>
<p><strong>Gesellschaftsfähigkeit:</strong> in der Regel sofort, leichte Rötung kann auftreten<br></p>
<p><strong>Einschränkungen nach Behandlung:</strong> 1–2 Tage keine Sauna/Sport, keine intensive Sonnenexposition, keine Kopfhautmassagen<br></p>
<p><strong>Wirkungseintritt:</strong> allmählich, sichtbare Ergebnisse nach einigen Wochen<br>Wirkungsdauer / Haltbarkeit: ca. 3–6 Monate (je nach individueller Reaktion und Behandlungsziel)<br></p>
<p><strong>Behandlungsverlauf:</strong> Für optimalen Erfolg wird eine Kur von mehreren Sitzungen empfohlen (z. B. 3–6 Behandlungen im Abstand von 2–4 Wochen).<br></p>
<p><strong>Kosten:</strong> individuell nach Areal und Produktmenge, ab 150 €</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Haarausfall_25cf7fdd-748c-40f9-9510-77770f6fdb88.png?v=1778271344,1,"",false,,,,kg,,,active
intimlifting,Intimlifting,"<p><strong>Behandlungsdauer: </strong>ca. 30–60Minuten<br></p>
<p><strong>Schmerzen:</strong> leicht bis mittel, individuell unterschiedlich<br></p>
<p><strong>Betäubung:</strong> oberflächliche oder lokale Betäubung<br></p>
<p><strong>Gesellschaftsfähigkeit: </strong>in der Regel sofort <br></p>
<p><strong>Einschränkungen nach Behandlung: </strong>2–5 Tage Verzicht auf Geschlechtsverkehr, Sport, Sauna<br></p>
<p><strong>Wirkungseintritt: </strong>sofort sichtbar<br></p>
<p><strong>Wirkungsdauer / Haltbarkeit: </strong>9–18 Monate (je nach Produkt und Stoffwechsel)<br></p>
<p><strong>Kosten: </strong>individuell nach Materialverbrauch und Behandlungsziel, ab 300 €</p>",VIVA Ästhetik,Разное,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,300.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/1073/3309/1677/files/Intime_e901d9a8-bc49-44c0-b03c-7378404a3f8f.png?v=1778271343,1,"",false,,,,kg,,,active
