Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,709917049181,title,ru,,,Startseite,
COLLECTION,709917049181,handle,ru,,,frontpage,
COLLECTION,709917671773,title,ru,,,Услуги,
COLLECTION,709917671773,body_html,ru,,,"",
COLLECTION,709917671773,handle,ru,,,услуги,
COOKIE_BANNER,19292225885,policy_link_text,ru,,,Datenschutzerklärung,
COOKIE_BANNER,19292225885,title,ru,,,Cookie-Zustimmung,
COOKIE_BANNER,19292225885,text,ru,,,"Wir und unsere Partner, einschließlich Shopify, verwenden Cookies und weitere Technologien, um dein Erlebnis individuell an dich anzupassen, dir Werbung zu zeigen und Analysen durchzuführen. Wir nutzen Cookies und andere Technologien für diese Zwecke nur mit deiner Zustimmung. Mehr Informationen findest du in unserer ",
COOKIE_BANNER,19292225885,button_prefs_open_text,ru,,,Einstellungen verwalten,
COOKIE_BANNER,19292225885,button_accept_text,ru,,,Akzeptieren,
COOKIE_BANNER,19292225885,button_decline_text,ru,,,Ablehnen,
COOKIE_BANNER,19292225885,preferences_title,ru,,,Cookie- und Datenschutz-Einstellungen,
COOKIE_BANNER,19292225885,preferences_intro_title,ru,,,Sie haben die Kontrolle über Ihre Daten,
COOKIE_BANNER,19292225885,preferences_intro_text,ru,,,"Erfahren Sie mehr über von uns verwendete Cookies und wählen Sie aus, welche Cookies Sie zulassen möchten.",
COOKIE_BANNER,19292225885,preferences_button_accept_text,ru,,,Alle akzeptieren,
COOKIE_BANNER,19292225885,preferences_button_decline_text,ru,,,Alle ablehnen,
COOKIE_BANNER,19292225885,preferences_button_save_text,ru,,,Meine Auswahl speichern,
COOKIE_BANNER,19292225885,preferences_bullet_points_title,ru,,,Wenn Sie alle Cookies akzeptieren:,
COOKIE_BANNER,19292225885,preferences_bullet_points_first_text,ru,,,kann unsere Website basierend auf Ihren Interessen verbessert werden,
COOKIE_BANNER,19292225885,preferences_bullet_points_second_text,ru,,,können Ihre Einstellungen für Ihren nächsten Besuch gespeichert werden,
COOKIE_BANNER,19292225885,preferences_bullet_points_third_text,ru,,,"kann Werbung angezeigt werden, die auf Sie zugeschnitten ist",
COOKIE_BANNER,19292225885,preferences_purposes_essential_name,ru,,,Technisch notwendige Cookies,
COOKIE_BANNER,19292225885,preferences_purposes_essential_desc,ru,,,"Diese Cookies sind erforderlich, damit die Website ordnungsgemäß funktioniert, z. B. Funktionen wie die Anmeldung oder das Hinzufügen von Artikeln zum Warenkorb.",
COOKIE_BANNER,19292225885,preferences_purposes_performance_name,ru,,,Analysen,
COOKIE_BANNER,19292225885,preferences_purposes_performance_desc,ru,,,"Diese Cookies helfen uns zu verstehen, wie Sie mit der Website interagieren. Wir verwenden diese Daten, um verbesserungswürdige Bereiche zu identifizieren.",
COOKIE_BANNER,19292225885,preferences_purposes_preferences_name,ru,,,Personalisierung,
COOKIE_BANNER,19292225885,preferences_purposes_preferences_desc,ru,,,"Diese Cookies speichern Details zu Ihren Aktionen, um Ihren nächsten Besuch auf der Website zu personalisieren.",
COOKIE_BANNER,19292225885,preferences_purposes_marketing_name,ru,,,Marketing,
COOKIE_BANNER,19292225885,preferences_purposes_marketing_desc,ru,,,"Diese Cookies werden von uns und unseren Partnern verwendet, einschließlich Shopify, um Marketingbotschaften zu optimieren und dir Werbung auf anderen Websites anzuzeigen.",
COOKIE_BANNER,19292225885,policy_link_url,ru,,,https://vivaasthetik.de/policies/privacy-policy,
DELIVERY_METHOD_DEFINITION,1379554885981,name,ru,,,Standard,
DELIVERY_METHOD_DEFINITION,1379554918749,name,ru,,,Express,
DELIVERY_METHOD_DEFINITION,1379554951517,name,ru,,,International,
FILTER,136281194845,label,ru,,,Verfügbarkeit,Доступность
FILTER,136281227613,label,ru,,,Preis,Цена
LINK,850987614557,title,ru,,,Startseite,Главная
LINK,850987647325,title,ru,,,Leistungen,Услуги
LINK,850987680093,title,ru,,,Uber mich,Обо мне
LINK,850987712861,title,ru,,,Suche,
LINK,850987745629,title,ru,,,Starseite,
LINK,850987778397,title,ru,,,Leistungen ,
LINK,850989023581,title,ru,,,Uber mich,
LINK,850989056349,title,ru,,,Terminbuchung,
LINK,850989089117,title,ru,,,FAQ,
LINK,850989121885,title,ru,,,Empfelung,
LINK,850989580637,title,ru,,,Terminbuchung,Записъ
LINK,850989613405,title,ru,,,FAQ,FAQ
LINK,850989646173,title,ru,,,Empfelung,Советы
MEDIA_IMAGE,72116428013917,alt,ru,,,"",
MEDIA_IMAGE,72116428374365,alt,ru,,,"",
MEDIA_IMAGE,72116430045533,alt,ru,,,"",
MEDIA_IMAGE,72116430111069,alt,ru,,,"",
MEDIA_IMAGE,72116430242141,alt,ru,,,"",
MEDIA_IMAGE,72116430340445,alt,ru,,,"",
MEDIA_IMAGE,72116430405981,alt,ru,,,"",
MEDIA_IMAGE,72116430537053,alt,ru,,,"",
MEDIA_IMAGE,72116430668125,alt,ru,,,"",
MEDIA_IMAGE,72116430799197,alt,ru,,,"",
MEDIA_IMAGE,72116430897501,alt,ru,,,"",
MEDIA_IMAGE,72116430995805,alt,ru,,,"",
MEDIA_IMAGE,72116466155869,alt,ru,,,"",
